budget,genres,id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,genre_names
250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",122917,120.965743,2014-12-10,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,"['Action', 'Adventure', 'Fantasy']"
215000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",1930,89.866276,2012-06-27,752215857,136.0,The Amazing Spider-Man,6.5,6586,"['Action', 'Adventure', 'Fantasy']"
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",20662,37.668301,2010-05-12,310669540,140.0,Robin Hood,6.2,1398,"['Action', 'Adventure']"
250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",57158,94.370564,2013-12-11,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,"['Adventure', 'Fantasy']"
180000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",2268,42.990906,2007-12-04,372234864,113.0,The Golden Compass,5.8,1303,"['Adventure', 'Fantasy']"
207000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",254,61.22601,2005-12-14,550000000,187.0,King Kong,6.6,2337,"['Adventure', 'Drama', 'Action']"
200000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",597,100.025899,1997-11-18,1845034188,194.0,Titanic,7.5,7562,"['Drama', 'Romance', 'Thriller']"
250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",271110,198.372395,2016-04-27,1153304495,147.0,Captain America: Civil War,7.1,7241,"['Adventure', 'Action', 'Science Fiction']"
209000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",44833,64.928382,2012-04-11,303025485,131.0,Battleship,5.5,2114,"['Thriller', 'Action', 'Adventure', 'Science Fiction']"
150000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",135397,418.708552,2015-06-09,1513528810,124.0,Jurassic World,6.5,8662,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",37724,93.004993,2012-10-25,1108561013,143.0,Skyfall,6.9,7604,"['Action', 'Adventure', 'Thriller']"
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",558,35.149586,2004-06-25,783766341,127.0,Spider-Man 2,6.7,4321,"['Action', 'Adventure', 'Fantasy']"
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",68721,77.68208,2013-04-18,1215439994,130.0,Iron Man 3,6.8,8806,"['Action', 'Adventure', 'Science Fiction']"
200000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",12155,78.530105,2010-03-03,1025491110,108.0,Alice in Wonderland,6.4,4645,"['Family', 'Fantasy', 'Adventure']"
210000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",36668,3.857526,2006-05-24,459359555,104.0,X-Men: The Last Stand,6.3,3525,"['Adventure', 'Action', 'Science Fiction', 'Thriller']"
200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",62211,89.186492,2013-06-20,743559607,104.0,Monsters University,7.0,3528,"['Animation', 'Family']"
150000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",8373,21.939663,2009-06-19,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,"['Science Fiction', 'Action', 'Adventure']"
210000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",91314,116.840296,2014-06-25,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,"['Science Fiction', 'Action', 'Adventure']"
200000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",68728,46.985445,2013-03-07,491868548,130.0,Oz: The Great and Powerful,5.7,3530,"['Fantasy', 'Adventure', 'Family']"
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",102382,89.270217,2014-04-16,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,"['Action', 'Adventure', 'Fantasy']"
170000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",20526,73.79505,2010-12-10,400062763,125.0,TRON: Legacy,6.3,2841,"['Adventure', 'Action', 'Science Fiction']"
200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",49013,49.98659,2011-06-11,559852396,106.0,Cars 2,5.8,2033,"['Animation', 'Family', 'Adventure', 'Comedy']"
200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",44912,51.872839,2011-06-16,219851172,114.0,Green Lantern,5.1,2487,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",10193,59.995418,2010-06-16,1066969703,103.0,Toy Story 3,7.6,4597,"['Animation', 'Family', 'Comedy']"
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",534,71.862892,2009-05-20,371353001,115.0,Terminator Salvation,5.9,2463,"['Action', 'Science Fiction', 'Thriller']"
190000000,"[{'id': 28, 'name': 'Action'}]",168259,102.322217,2015-04-01,1506249360,137.0,Furious 7,7.3,4176,['Action']
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",72190,81.834855,2013-06-20,531865000,116.0,World War Z,6.7,5560,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']"
250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",127585,118.078691,2014-05-15,747862775,131.0,X-Men: Days of Future Past,7.5,6032,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
190000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",54138,78.291018,2013-05-05,467365246,132.0,Star Trek Into Darkness,7.4,4418,"['Action', 'Adventure', 'Science Fiction']"
195000000,"[{'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",81005,43.349855,2013-02-27,197687603,114.0,Jack the Giant Slayer,5.5,2598,"['Action', 'Family', 'Fantasy']"
105000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",64682,61.196071,2013-05-10,351040419,143.0,The Great Gatsby,7.3,3769,"['Drama', 'Romance']"
150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]",9543,62.169881,2010-05-19,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,"['Adventure', 'Fantasy', 'Action', 'Romance']"
180000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",68726,56.523205,2013-07-11,407602906,131.0,Pacific Rim,6.7,4794,"['Action', 'Science Fiction', 'Adventure']"
195000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",38356,28.529607,2011-06-28,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,"['Action', 'Science Fiction', 'Adventure']"
185000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",217,75.674458,2008-05-21,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,"['Adventure', 'Action']"
185000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",188927,65.352913,2016-07-07,343471816,122.0,Star Trek Beyond,6.6,2568,"['Action', 'Adventure', 'Science Fiction']"
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",14161,45.274225,2009-10-10,769653595,158.0,2012,5.6,4903,"['Action', 'Adventure', 'Science Fiction']"
176000003,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",76757,85.36908,2015-02-04,183987723,124.0,Jupiter Ascending,5.2,2768,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']"
180000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",258489,42.741719,2016-06-29,356743061,109.0,The Legend of Tarzan,5.5,2430,"['Action', 'Adventure']"
180000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",411,67.391328,2005-12-07,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,"['Adventure', 'Family', 'Fantasy']"
178000000,"[{'id': 878, 'name': 'Science Fiction'}]",246655,139.272042,2016-05-18,543934787,144.0,X-Men: Apocalypse,6.4,4721,['Science Fiction']
185000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",155,187.322927,2008-07-16,1004558444,152.0,The Dark Knight,8.2,12002,"['Drama', 'Action', 'Crime', 'Thriller']"
140000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1726,120.725053,2008-04-30,585174222,126.0,Iron Man,7.4,8776,"['Action', 'Science Fiction', 'Adventure']"
170000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",44826,32.319043,2011-11-22,185770160,126.0,Hugo,7.0,2141,"['Adventure', 'Drama', 'Family']"
170000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 37, 'name': 'Western'}]",8487,40.748915,1999-06-29,222104681,106.0,Wild Wild West,5.1,1020,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']"
145000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",1735,60.034162,2008-07-01,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,"['Adventure', 'Action', 'Fantasy']"
175000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",297761,90.23792,2016-08-02,745000000,123.0,Suicide Squad,5.9,7458,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']"
178000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",137113,79.456485,2014-05-27,370541256,113.0,Edge of Tomorrow,7.6,4858,"['Action', 'Science Fiction']"
175000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",9804,44.640292,1995-07-28,264218220,135.0,Waterworld,5.9,992,"['Adventure', 'Action']"
175000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",14869,32.852443,2009-08-04,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
175000000,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",278927,94.199316,2016-04-07,966550600,106.0,The Jungle Book,6.7,2892,"['Family', 'Adventure', 'Drama', 'Fantasy']"
200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",10138,77.300194,2010-04-28,623933331,124.0,Iron Man 2,6.6,6849,"['Adventure', 'Action', 'Science Fiction']"
170000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",58595,77.178973,2012-05-30,396600000,127.0,Snow White and the Huntsman,5.8,3118,"['Adventure', 'Fantasy', 'Drama']"
170000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",119450,243.791743,2014-06-26,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,"['Science Fiction', 'Action', 'Drama', 'Thriller']"
27000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",79698,2.418535,2015-02-13,0,109.0,The Lovers,4.8,34,"['Action', 'Adventure', 'Science Fiction', 'Romance']"
175000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",64686,41.796339,2013-12-06,150962475,119.0,47 Ronin,5.9,1326,"['Drama', 'Action', 'Adventure', 'Fantasy']"
170000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",100402,72.225265,2014-03-20,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,"['Action', 'Adventure', 'Science Fiction']"
190000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",158852,130.311355,2015-05-19,209154322,130.0,Tomorrowland,6.2,2846,"['Adventure', 'Family', 'Mystery', 'Science Fiction']"
165000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",177572,203.73459,2014-10-24,652105443,102.0,Big Hero 6,7.8,6135,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']"
165000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",82690,62.341073,2012-11-01,471222889,108.0,Wreck-It Ralph,7.1,4570,"['Family', 'Animation', 'Comedy', 'Adventure']"
165000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",47933,48.775723,2016-06-22,389681935,120.0,Independence Day: Resurgence,4.9,2491,"['Action', 'Adventure', 'Science Fiction']"
200000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",296,69.405188,2003-07-02,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,"['Action', 'Thriller', 'Science Fiction']"
170000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",118340,481.098624,2014-07-30,773328629,121.0,Guardians of the Galaxy,7.9,9742,"['Action', 'Science Fiction', 'Adventure']"
165000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",157336,724.247784,2014-11-05,675120017,169.0,Interstellar,8.1,10867,"['Adventure', 'Drama', 'Science Fiction']"
160000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",27205,167.58371,2010-07-14,825532764,148.0,Inception,8.1,13752,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']"
15000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",315011,9.476999,2016-07-29,77000000,120.0,Shin Godzilla,6.5,143,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']"
250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",49051,108.849621,2012-11-26,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,8297,"['Adventure', 'Fantasy', 'Action']"
38000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",9799,6.909942,2001-06-22,207283925,106.0,The Fast and the Furious,6.6,3428,"['Action', 'Crime', 'Thriller']"
150000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",4922,60.269279,2008-11-24,333932083,166.0,The Curious Case of Benjamin Button,7.3,3292,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']"
160000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",49538,3.195174,2011-05-24,353624124,132.0,X-Men: First Class,7.1,5181,"['Action', 'Science Fiction', 'Adventure']"
160000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",131634,127.284427,2015-11-18,653428261,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,"['Action', 'Adventure', 'Science Fiction']"
150000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",27022,35.580815,2010-07-13,215283742,109.0,The Sorcerer's Apprentice,5.8,1470,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']"
170000000,"[{'id': 14, 'name': 'Fantasy'}]",241259,56.268916,2016-05-25,299370084,113.0,Alice Through the Looking Glass,6.5,1725,['Fantasy']
160000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",68735,63.148529,2016-05-25,433677183,123.0,Warcraft,6.3,2268,"['Action', 'Adventure', 'Fantasy']"
155000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",87101,202.042635,2015-06-23,440603537,126.0,Terminator Genisys,5.8,3631,"['Science Fiction', 'Action', 'Thriller', 'Adventure']"
155000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",10140,49.661984,2010-08-13,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,"['Adventure', 'Family', 'Fantasy']"
140000000,"[{'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",676,34.20669,2001-05-21,449220945,183.0,Pearl Harbor,6.6,1791,"['History', 'Romance', 'War']"
150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",1858,25.468493,2007-06-27,709709780,144.0,Transformers,6.6,4040,"['Adventure', 'Science Fiction', 'Action']"
155000000,"[{'id': 10752, 'name': 'War'}, {'id': 36, 'name': 'History'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1966,39.019229,2004-11-21,167298192,175.0,Alexander,5.6,927,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']"
150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}]",675,78.144395,2007-06-28,938212738,138.0,Harry Potter and the Order of the Phoenix,7.4,5494,"['Adventure', 'Fantasy', 'Family', 'Mystery']"
150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",674,101.250416,2005-11-05,895921036,157.0,Harry Potter and the Goblet of Fire,7.5,5608,"['Adventure', 'Fantasy', 'Family']"
150000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",6479,70.867401,2007-12-14,585349010,101.0,I Am Legend,6.9,4853,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']"
150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",118,53.905592,2005-07-13,474968763,115.0,Charlie and the Chocolate Factory,6.7,3624,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
